,Returns
0,0.008628779996860514
1,-0.0028700134379759934
2,-0.004594275513284285
3,0.05405105444993996
4,0.012134017487352766
5,-0.004847578342366599
6,-0.011994517641396585
7,-0.03472407826012114
8,0.04250881708769816
9,0.06506158659888994
10,0.045061090630958534
11,0.0023665278440403448
12,0.07148927885973944
13,0.052793917786918776
14,-0.014148136083619978
15,0.05022928675463656
16,0.014109521521153523
17,-0.05868283142882347
18,0.07119260505765657
19,-0.08543860347658849
20,0.0547293273494327
21,0.02147719315076868
22,-0.028288271475909732
23,0.13176689368870087
24,0.036923621317010324
25,0.02638986515783981
26,-0.011450211572491154
27,0.006034196283620119
28,0.04791449018971927
29,0.048223696256938675
30,0.03495884015199979
31,-0.024166165905701198
32,-0.21763041421998008
33,-0.0853488653536516
34,0.07286147875354443
35,0.04043227059709542
36,0.04181740262854561
37,-0.03334326201018556
38,0.009424743272317793
39,0.003176126477985486
40,0.043256012280601164
41,-0.005411374721492224
42,-0.03860010449258666
43,0.03972933268934309
44,0.0259644642106176
45,-0.018890880706211144
46,0.014687573381001906
47,0.07111479156412925
48,-0.02894414843113058
49,0.020805961609083434
50,0.05008993717851862
51,0.035137494672926595
52,-0.007924554206930945
53,0.08837025792525588
54,0.01551671822445666
55,-0.006544368276168888
56,-0.02517545094824758
57,0.016541324259951473
58,0.021416815142801804
59,-0.06881722621461728
60,0.008539042758088922
61,0.024254986404143253
62,-0.02688714062127162
63,0.09198919079889456
64,-0.008886365681221697
65,-0.005223158411739148
66,-0.09431418479162912
67,-0.051184306456431905
68,-0.006698212301042394
69,0.05993421454178649
70,0.024827757338752088
71,0.0415177499981747
72,0.06728117681278034
73,0.022202832522042026
74,0.0003197993624997064
75,0.0386049724936075
76,-0.04789262897479862
77,0.04485934295776639
78,0.019648784624321625
79,-0.019143735843086374
80,0.011834236654519215
81,-0.04390370862630699
82,0.11158785507428148
83,-0.019923751783923582
84,0.00958954312696414
85,-0.02183186212532784
86,0.027892713957560433
87,0.0009639568254424802
88,-0.017358833150663777
89,0.039373686063305824
90,-0.02399753160189122
91,0.009105593857418715
92,0.002106282691536565
93,0.03026180770368403
94,0.010107766987062838
95,0.007045987892006611
96,0.010483627595407663
97,0.01869729905188877
98,-0.025416810160156622
99,0.02271746278774489
100,0.0007552285391652092
101,-0.00532704570835929
102,0.03443195614588723
103,-0.009987930164805148
104,0.019392922751884534
105,-0.01291062608362914
106,0.010091174724184304
107,0.032500745519977725
108,-0.030044997286678532
109,-0.04574651060635082
110,0.011530643100964522
111,0.012397144202814125
112,-0.026790823628320082
113,0.03148990725890011
114,0.03759869964992624
115,-0.026877534841474704
116,0.020833815622011143
117,-0.03950461187888721
118,0.012299117331743048
119,0.024277711761677034
120,0.03607414807259257
121,0.027329195113380722
122,0.027960357804911462
123,0.03631171269946476
124,0.021278543431649366
125,0.03177603957520647
126,-0.0003202374774278205
127,0.04009747288732535
128,-0.004979335189770229
129,0.04104900278106194
130,0.01744387340596476
131,0.03261738686923121
132,0.006933701784703983
133,0.007916567590839696
134,0.01343142201418468
135,0.022853405991703157
136,0.0022567099722681228
137,-0.045748016719207696
138,0.01881393514756069
139,0.05420332732833044
140,0.026101002422918018
141,0.07337615178140577
142,-0.021505414489508046
143,0.061317039054128886
144,0.0059275902346540565
145,-0.04261401064074877
146,0.05840557906734034
147,0.05857688480332501
148,0.043452614795275846
149,0.07814580943742477
150,-0.057465631708528364
151,0.053153590615567126
152,-0.03447769737522033
153,0.04458685521263939
154,0.01573159710869443
155,0.010150177442407982
156,0.07044919253631243
157,0.049945714341220526
158,0.009076469253460395
159,-0.018826223261468433
160,0.03943824063504042
161,-0.011615326917385427
162,-0.14579671825011387
163,0.06239551504341101
164,0.08029422856762891
165,0.05912599628568138
166,0.056375287084956094
167,0.04100944085374847
168,-0.032282562377591306
169,0.0387942154089167
170,0.03794402759627746
171,-0.024970480796175143
172,0.054438331114324834
173,-0.032046092391091685
174,-0.006254091687235008
175,-0.028551792448024638
176,0.0625395414523846
177,0.019061858969220413
178,0.05784389473992291
179,-0.05090354879190062
180,-0.020108083256356934
181,0.09671982835364812
182,-0.030795755780191336
183,-0.021915050603417807
184,0.023933549615877237
185,-0.016341275904170893
186,0.06069910494167097
187,-0.053482974719764265
188,-0.00494948542177065
189,-0.08006861010730892
190,0.004053445623728669
191,0.03463657667616449
192,-0.09229073539585964
193,-0.06420471080339152
194,0.07681436165439459
195,0.005090187401275648
196,-0.02503538942756467
197,-0.010740149595403703
198,-0.06410840688075747
199,-0.08172340570563885
200,0.018099111333141016
201,0.0751759041240454
202,0.0075738340889277556
203,-0.015573832456979853
204,-0.020766211039727644
205,0.03673889286207466
206,-0.061417625919219065
207,-0.009081481352177012
208,-0.0724553538081798
209,-0.07900427514940767
210,0.004881433306494376
211,-0.11002431825242787
212,0.08644880033371405
213,0.05706962070498589
214,-0.06033257188502883
215,-0.02741469268304464
216,-0.01700360825687175
217,0.008357567684332823
218,0.0810441071800323
219,0.050898709609522585
220,0.011322214676852127
221,0.016223701958536507
222,0.017873203593487874
223,-0.011944364585525724
224,0.05496148663571665
225,0.0071285040713728876
226,0.05076554077889206
